,age,income,RLK2022,no_cars,CO2_cruise,CO2_flight,CO2_public_transport,CO2_car_total,CO2_mobility,belief_diff_mobility,cluster_id
323,23,6000.0,zentral,4.0,271.0,798.0,0.0,4656.366,5725.366,6.0,0
324,26,1500.0,sehr zentral,0.0,98915.0,5990.0,107.8,0.0,105012.8,-65.0,0
325,21,0.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,14.0,2
326,22,6000.0,sehr zentral,1.0,0.0,0.0,107.8,2686.365,2794.165,9.0,1
327,25,1500.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-7.0,2
328,30,4100.0,peripher,2.0,0.0,997.5,0.0,2328.183,3325.683,15.0,3
329,44,6500.0,sehr zentral,1.0,0.0,0.0,0.0,4081.022,4081.022,-41.0,3
330,59,3500.0,sehr zentral,1.0,0.0,23780.4,107.8,3710.02,27598.22,-11.0,1
331,22,1200.0,sehr zentral,0.0,16260.0,1330.0,107.8,0.0,17697.8,-76.0,0
332,26,800.0,zentral,1.0,0.0,532.0,107.8,716.364,1356.164,7.0,2
333,28,4000.0,sehr zentral,5.0,0.0,798.0,107.8,3703.61,4609.41,12.0,1
334,24,2000.0,sehr zentral,0.0,0.0,3394.0,107.8,0.0,3501.8,-37.0,2
335,24,2300.0,sehr zentral,0.0,0.0,3738.0,107.8,0.0,3845.8,-16.0,2
336,50,920.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,7.0,2
337,34,3500.0,zentral,1.0,0.0,0.0,107.8,259.281,367.081,-4.0,2
338,25,2500.0,sehr zentral,1.0,0.0,665.0,107.8,2686.365,3459.165,-17.0,1
339,35,3000.0,sehr zentral,0.0,0.0,7820.0,107.8,0.0,7927.8,-61.0,2
340,46,6000.0,sehr zentral,2.0,0.0,0.0,107.8,1790.91,1898.71,4.0,1
341,29,2500.0,sehr zentral,1.0,0.0,532.0,107.8,2782.515,3422.315,-1.0,1
342,26,1500.0,zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
343,38,2200.0,peripher,2.0,0.0,3440.0,107.8,1110.3642,4658.1642,-54.0,1
344,24,800.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,12.0,2
345,25,3700.0,zentral,1.0,0.0,1596.0,107.8,2149.092,3852.892,-35.0,1
346,22,800.0,sehr zentral,0.0,0.0,6650.0,107.8,0.0,6757.8,-58.0,2
347,28,4000.0,sehr zentral,1.0,0.0,532.0,0.0,8954.55,9486.55,-59.0,3
348,30,2200.0,zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
349,32,900.0,sehr zentral,0.0,0.0,665.0,107.8,0.0,772.8,-15.0,2
350,20,5000.0,zentral,1.0,0.0,0.0,107.8,22138.48,22246.28,-83.0,1
351,20,2000.0,sehr zentral,1.0,0.0,0.0,107.8,1074.546,1182.346,0.0,1
352,33,1858.0,zentral,0.0,0.0,0.0,107.8,0.0,107.8,6.0,2
353,20,4500.0,peripher,4.0,0.0,0.0,107.8,1685.43705,1793.23705,-14.0,1
354,38,3100.0,sehr zentral,1.0,0.0,598.5,107.8,1790.91,2497.21,-5.0,1
355,66,560.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,18.0,2
356,35,5000.0,zentral,1.0,0.0,0.0,107.8,895.455,1003.255,-1.0,1
357,19,900.0,sehr zentral,1.0,0.0,266.0,107.8,5534.62,5908.42,-6.0,1
358,30,90.0,sehr zentral,1.0,0.0,4770.0,107.8,4.150965,4881.950965,4.0,2
359,26,2000.0,sehr zentral,0.0,0.0,4724.0,107.8,0.0,4831.8,15.0,2
360,26,6000.0,zentral,0.0,0.0,0.0,107.8,0.0,107.8,14.0,2
361,21,1200.0,sehr zentral,0.0,2710.0,2660.0,107.8,0.0,5477.8,-7.0,0
362,38,200.0,zentral,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2
363,26,3500.0,peripher,1.0,0.0,2041.0,0.0,3581.82,5622.82,-43.0,3
364,24,1600.0,sehr zentral,0.0,0.0,4832.0,107.8,0.0,4939.8,-30.0,2
365,40,2500.0,sehr zentral,1.0,0.0,0.0,107.8,268.6365,376.4365,64.0,2
366,32,2300.0,sehr zentral,0.0,0.0,3816.0,107.8,0.0,3923.8,-13.0,2
367,34,2600.0,sehr zentral,1.0,0.0,0.0,0.0,3889.215,3889.215,5.0,3
368,21,3000.0,sehr zentral,1.0,0.0,532.0,107.8,0.0,639.8,16.0,2
369,22,3000.0,sehr zentral,2.0,0.0,532.0,107.8,2597.014,3236.814,-29.0,1
370,34,9000.0,sehr zentral,0.0,0.0,3433.0,107.8,0.0,3540.8,10.0,2
371,32,6000.0,sehr zentral,1.0,0.0,1995.0,107.8,1113.006,3215.806,-38.0,1
372,32,1200.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,5.0,2
373,25,0.0,zentral,0.0,0.0,532.0,107.8,0.0,639.8,3.0,2
374,38,4000.0,sehr zentral,2.0,0.0,2660.0,107.8,31487.94,34255.74,-68.0,1
375,36,2900.0,sehr zentral,1.0,0.0,266.0,107.8,1074.546,1448.346,-10.0,1
376,31,2500.0,sehr zentral,1.0,0.0,0.0,107.8,1790.91,1898.71,-29.0,1
377,26,3000.0,sehr zentral,0.0,0.0,8788.0,107.8,0.0,8895.8,-69.0,2
378,18,520.0,sehr zentral,0.0,0.0,3417.0,107.8,0.0,3524.8,-6.0,2
379,22,3800.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,61.0,2
380,21,0.0,zentral,2.0,0.0,266.0,107.8,1790.91,2164.71,-8.0,1
381,28,2240.0,sehr zentral,0.0,0.0,3972.0,107.8,0.0,4079.8,-29.0,2
382,67,1000.0,sehr zentral,1.0,0.0,0.0,0.0,895.455,895.455,24.0,3
383,56,3800.0,sehr zentral,0.0,0.0,931.0,107.8,0.0,1038.8,-8.0,2
384,33,2500.0,sehr zentral,0.0,0.0,2784.0,107.8,0.0,2891.8,-22.0,2
